empresa,pais,region,especialidad,ciudad,email,web,telefono,contacto,cargo,empleados,facturacion
Alquileres Maquinaria Ibérica S.L.,España,Madrid,Elevación (plataformas y grúas),Madrid,info@maquinariaiberica.es,https://www.maquinariaiberica.es,+34 910 111 222,Carlos Ramírez,Director General,180,18000000
Excavaciones y Alquileres del Levante S.A.,España,Comunidad Valenciana,Movimiento de tierras,Valencia,comercial@alquilereslevante.es,https://www.alquilereslevante.es,+34 960 222 333,Marta Sanchís,Directora Comercial,95,9500000
RentMaq Cataluña S.L.,España,Cataluña,Manutención (carretillas y telescópicos),Barcelona,hola@rentmaq.cat,https://www.rentmaq.cat,+34 930 333 444,Jordi Puig,Responsable de Flota,60,7200000
Maquinaria del Sur Alquiler S.L.,España,Andalucía,Movimiento de tierras,Sevilla,info@maqsur.es,https://www.maqsur.es,+34 950 444 555,Antonio Gómez,Gerente,45,4100000
Alquiler Industrial Norte S.L.,España,País Vasco,Generadores y energía,Bilbao,contacto@ainorte.es,https://www.ainorte.es,+34 940 555 666,Iker Goikoetxea,Director de Operaciones,120,13500000
Plataformas Elevadoras Aragón S.L.,España,Aragón,Elevación (plataformas y grúas),Zaragoza,info@pearagon.es,https://www.pearagon.es,+34 970 666 777,Lucía Ferrer,Responsable Comercial,30,2800000
Compactación y Obra Civil Galicia S.L.,España,Galicia,Maquinaria de obra civil,A Coruña,comercial@coc-galicia.es,https://www.coc-galicia.es,+34 980 777 888,Manuel Rodríguez,Gerente,22,1900000
Eventos y Estructuras Rent S.L.,España,Madrid,Eventos y andamios,Alcobendas,info@eventosrent.es,https://www.eventosrent.es,+34 911 888 999,Sara Molina,Directora,15,1200000
Maquinaria Agrícola y Forestal Castilla S.L.,España,Castilla y León,Maquinaria de obra civil,Valladolid,info@maqcastilla.es,https://www.maqcastilla.es,+34 983 999 000,Pedro Alonso,Responsable de Alquiler,18,1600000
Alquiler de Carretillas Mediterráneo S.L.,España,Región de Murcia,Manutención (carretillas y telescópicos),Murcia,ventas@carretillasmed.es,https://www.carretillasmed.es,+34 968 121 232,David Hernández,Jefe de Ventas,12,900000
Clima y Frío Industrial Canarias S.L.,España,Canarias,Climatización industrial,Las Palmas de Gran Canaria,info@climacanarias.es,https://www.climacanarias.es,+34 928 343 454,Yolanda Suárez,Gerente,9,750000
Herramienta y Maquinaria Express S.L.,España,Cataluña,Herramienta ligera,Tarragona,info@hmexpress.es,,+34 977 565 676,Roberto Vila,Propietario,5,400000
GrúasTorre y Elevación Levante S.A.,España,Comunidad Valenciana,Elevación (plataformas y grúas),Alicante,comercial@gruaslevante.es,https://www.gruaslevante.es,+34 965 787 898,Elena Navarro,Directora Comercial,210,24000000
Movitierra Andalucía Alquiler S.L.,España,Andalucía,Movimiento de tierras,Málaga,info@movitierra.es,https://www.movitierra.es,+34 952 909 010,Francisco Ortega,Director de Flota,75,8200000
