"Ticket","Título","Descripción","Eventos incluidos","Criterios de aceptación","Estimación","Prioridad","Dependencias","Estado","Asignado"
"ANL-1","Helper analytics + Consent Mode v2 + dataLayer base","Crear src/lib/analytics.js con la función track() y helper sha256/identify. Añadir Consent Mode v2 con default denied para región ES. Inicializar dataLayer antes de cargar GTM. Reemplazar cualquier llamada directa a gtag/window.dataLayer.push existente.","(infraestructura — ningún evento de negocio)","[ ] track(event, params) disponible globalmente vía import. [ ] Consent Mode v2 con default denied para region ES y granted para MX (ajustar según política). [ ] Banner de cookies dispara gtag('consent','update',...) al aceptar. [ ] Ningún componente llama directamente a gtag o window.dataLayer.push. [ ] Verificado en GTM Preview que el dataLayer arranca antes que GTM.","0.5d","P0","-","Pending",""
"ANL-2","Eventos del buscador home","Implementar tracking de la barra de búsqueda principal de la home: búsqueda, click en resultado y limpieza.","search, select_search_result, search_clear","[ ] Buscar dispara `search` con search_term y results_count (incluido 0). [ ] Click en resultado dispara `select_search_result` con search_term, item_name y position. [ ] Limpiar input dispara `search_clear`. [ ] Validado en GA4 DebugView. [ ] No hay PII en parámetros.","0.5d","P0","ANL-1","Pending",""
"ANL-3","Eventos de catálogo (NUEVO)","Añadir tracking de listados, fichas de producto y filtros. Hoy no existe — es un agujero importante en el funnel.","view_item_list, view_item, select_item, filter_apply","[ ] Cada página /alquiler/maquinaria/* y /ubicaciones/* dispara `view_item_list` con items[] estructurados (item_id, item_name, item_category, index). [ ] Click en tarjeta dispara `select_item`. [ ] Ficha de producto dispara `view_item` con items[]. [ ] Aplicar filtro/orden dispara `filter_apply`. [ ] Validado en DebugView para 3 categorías y 3 ubicaciones distintas.","1d","P1","ANL-1","Pending",""
"ANL-4","Eventos de calculadora","Refactorizar tracking de la calculadora a estructura GA4 ecommerce. Sustituir 'Artículo añadido/eliminado del Resumen' por add_to_cart/remove_from_cart con items[]. Añadir view_calculator y form_error.","view_calculator, add_to_cart, remove_from_cart, begin_checkout, generate_lead, form_error, form_start","[ ] Entrar a calculadora dispara `view_calculator`. [ ] Añadir artículo dispara `add_to_cart` con items[] completo (item_id, item_name, item_category, item_variant, quantity, price) + value + currency. [ ] Eliminar dispara `remove_from_cart`. [ ] Submit del formulario dispara `begin_checkout` antes del envío. [ ] 200 del backend dispara `generate_lead` con form_id=calculator y lead_source=calculator. [ ] Error dispara `form_error` con error_code (sin PII en error_message). [ ] Validado funnel completo en DebugView.","1d","P0","ANL-1","Pending",""
"ANL-5","Eventos de formularios de contacto y onlyPhone","Unificar todos los formularios de contacto (home, about, landings país) y onlyPhone bajo el mismo patrón: form_start, generate_lead, form_error, form_cancel.","form_start, generate_lead, form_error, form_cancel","[ ] Primer foco en cualquier campo dispara `form_start` UNA vez por sesión de formulario. [ ] Submit OK dispara `generate_lead` con form_id=contact|onlyphone, form_location=home|about|landing_es|landing_mx, lead_source y country. [ ] El email/teléfono NO viaja en label ni en parámetros. [ ] Error dispara `form_error`. [ ] Cierre/cancelación de onlyPhone dispara `form_cancel`. [ ] La categoría 'Formulario de Contacto ({PAIS})' dinámica desaparece — country es parámetro.","0.5d","P0","ANL-1","Pending",""
"ANL-6","Eventos de login y registro","Refactorizar login y registro. Distinguir demandante (renter) de alquilador (partner) en sign_up. Quitar nombre/email de los labels.","login, login_error, sign_up_view, sign_up, sign_up_error, sign_up_cancel","[ ] Login OK dispara `login` con method=email y user_id (no email). [ ] Login KO dispara `login_error` con error_code. [ ] Apertura del modal dispara `sign_up_view` con user_type. [ ] Alta OK dispara `sign_up` con user_type=renter|partner. [ ] Alta KO dispara `sign_up_error`. [ ] Cancelar y cerrar mensaje de éxito disparan `sign_up_cancel` con step diferente. [ ] Ningún parámetro contiene email crudo.","0.5d","P0","ANL-1","Pending",""
"ANL-7","Eventos de carrito y checkout","Conectar el add_to_cart real del carrito (función ya existe pero no se llama — agujero crítico). Limpiar el tracking campo-a-campo del formulario de reserva. Añadir terms_toggle unificado.","add_to_cart, remove_from_cart, begin_checkout, begin_checkout_submit, generate_lead, form_start, form_field_error, terms_toggle","[ ] Añadir producto al carrito principal dispara `add_to_cart` con items[] (era el TODO marcado). [ ] Eliminar desde resumen, dropdown o móvil dispara `remove_from_cart`. [ ] Entrada al checkout dispara `begin_checkout`. [ ] Click en 'Solicitar cotización' tras términos dispara `begin_checkout_submit`. [ ] 200 del backend dispara `generate_lead` con form_id=reservation, items, value. [ ] El tracking 'Campo actualizado: {field}' SE ELIMINA. Se sustituye por: un único `form_start` al primer foco + `form_field_error` solo al fallar validación. [ ] terms_toggle con accepted=true|false unifica los dos eventos actuales.","1d","P0","ANL-1","Pending",""
"ANL-8","Eventos de WhatsApp, outbound y 404","Unificar los dos botones WhatsApp en un evento con parámetro country. Añadir click_outbound y page_not_found.","whatsapp_widget_open, whatsapp_country_click, click_outbound, page_not_found","[ ] Abrir el widget flotante dispara `whatsapp_widget_open`. [ ] Click en España o México dispara `whatsapp_country_click` con country=es|mx (un solo evento, no dos categorías). [ ] Click a dominio externo dispara `click_outbound` con outbound_url y destination_type. [ ] Carga de 404 dispara `page_not_found`.","0.25d","P1","ANL-1","Pending",""
"ANL-9","generate_lead y sign_up server-side","Duplicar los eventos de conversión por server-side desde el backend (Measurement Protocol GA4 + Meta CAPI). Inmuniza contra adblockers y mejora atribución.","generate_lead (server-side), sign_up (server-side)","[ ] El front pasa _ga client_id al endpoint /api/leads y /api/signup. [ ] Backend, al confirmar 200, llama a Measurement Protocol con measurement_id, api_secret, client_id, user_id y user_data (sha256 email + phone). [ ] Backend llama a Meta Conversions API con event Lead y CompleteRegistration. [ ] Validado en GA4 DebugView que llegan dos eventos: uno web (sin user_data) y uno server (con user_data hasheado). [ ] Validado en Meta Events Manager 'Test events'.","0.5d","P0","ANL-4, ANL-5, ANL-6, ANL-7","Pending",""
"ANL-10","Configuración GA4 y GTM","Configurar la propiedad GA4 y el contenedor GTM una vez los eventos lleguen. Marcar key events, registrar custom dimensions y construir audiencias.","(configuración — no es código de front)","[ ] generate_lead y sign_up (user_type=partner) marcados como Key Events en GA4. [ ] Custom dimensions: form_id, form_location, lead_source, country, user_type, lead_category, filter_type. [ ] User properties: user_type, country. [ ] Audiencia 'Carrito abandonado': begin_checkout sin generate_lead en 24h. [ ] Audiencia 'Alta intención': view_calculator + add_to_cart sin generate_lead. [ ] Tag genérico GA4 Event en GTM que reenvía todos los eventos del dataLayer. [ ] Tag de Meta Pixel mapeando: generate_lead→Lead, sign_up→CompleteRegistration, add_to_cart→AddToCart, begin_checkout→InitiateCheckout. [ ] Enhanced Measurement activado (scroll, outbound, file_download).","0.5d","P0","ANL-2 a ANL-9","Pending",""
