id	title	description	link	image_link	availability	price	condition	brand	mpn	identifier_exists	google_product_category	product_type
DX1499OQPT	Excavadora Doosan DX 140 LCR-5 (2020)	Excavadora Doosan DX 140 LCR-5. Modelo: Doosan DX 140 LCR-5. Año: 2020. Horas certificadas: 2900. Peso operativo: 14T. Cabina: Cerrada. Enganche rápido: hidráulico OilQuick OQ65. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/excavadoras-segunda-mano/DX1499OQPT	https://storage.googleapis.com/equipzilla-images/imgs/machines/DX1499OQPT-1.jpg	in_stock	87500 EUR	used	Doosan	DX1499OQPT	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > excavadoras-segunda-mano
DX165OQBSG	Excavadora Doosan DX 165 WR-7 (2022)	Excavadora Doosan DX 165 WR-7. Modelo: Doosan DX 165 WR-7. Año: 2022. Horas certificadas: 3300. Peso operativo: 17T. Cabina: Cerrada. Enganche rápido: hidráulico OilQuick OQ65. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/excavadoras-segunda-mano/DX165OQBSG	https://storage.googleapis.com/equipzilla-images/imgs/machines/DX165OQBSG-2.avif	in_stock	109500 EUR	used	Doosan	DX165OQBSG	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > excavadoras-segunda-mano
DX2102OQ	Excavadora Doosan DX 210 LC-7 (2022)	Excavadora Doosan DX 210 LC-7. Modelo: Doosan DX 210 LC-7. Año: 2022. Horas certificadas: 810. Peso operativo: 22T. Cabina: Cerrada. Enganche rápido: hidráulico OilQuick OQ70/55. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/excavadoras-segunda-mano/DX2102OQ	https://storage.googleapis.com/equipzilla-images/imgs/machines/DX2102OQ-4.avif	in_stock	116900 EUR	used	Doosan	DX2102OQ	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > excavadoras-segunda-mano
D22529OQT	Excavadora Doosan DX 225 LC-7 TOPCON (2022)	Excavadora Doosan DX 225 LC-7 TOPCON. Modelo: Doosan Kettenbagger DX 225 LC-7 TOPCON. Año: 2022. Horas certificadas: 800. Peso operativo: 23T. Cabina: Cerrada. Enganche rápido: hidráulico OilQuick OQ 70/55. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/excavadoras-segunda-mano/D22529OQT	https://storage.googleapis.com/equipzilla-images/imgs/machines/D22529OQT-7.avif	in_stock	139900 EUR	used	Doosan	D22529OQT	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > excavadoras-segunda-mano
KB210	Miniexcavadora Kubota K 008-5 (2023)	Miniexcavadora Kubota K 008-5. Modelo: Kubota K 008-5. Año: 2023. Horas certificadas: 700. Peso operativo: 1T. Cabina: Abierta. Enganche rápido: mecánico Lehnhoff MS03. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/miniexcavadoras-segunda-mano/KB210	https://storage.googleapis.com/equipzilla-images/imgs/machines/KB210-3.avif	in_stock	13900 EUR	used	Kubota	KB210	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > miniexcavadoras-segunda-mano
KB298	Miniexcavadora  Kubota KX 016-4 G (2024)	Miniexcavadora  Kubota KX 016-4 G. Modelo: Kubota Kompaktbagger KX 016-4 G. Año: 2024. Horas certificadas: 250. Peso operativo: 0,8T. Cabina: Abierta. Enganche rápido: mecánico Lenhoff MS1. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/miniexcavadoras-segunda-mano/KB298	https://storage.googleapis.com/equipzilla-images/imgs/machines/KB298-6.avif	in_stock	18900 EUR	used	Kubota	KB298	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > miniexcavadoras-segunda-mano
DX279PT	Miniexcavadora  Develon DX 27 Z-7 (2023)	Miniexcavadora  Develon DX 27 Z-7. Modelo: Develon DX 27 Z-7. Año: 2023. Horas certificadas: 650. Peso operativo: 2,7T. Cabina: Cerrada. Enganche rápido: hidráulico Lenhoff HS03. Cazos incluidos: 2. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/miniexcavadoras-segunda-mano/DX279PT	https://storage.googleapis.com/equipzilla-images/imgs/machines/DX279PT-5.avif	in_stock	31900 EUR	used	Develon	DX279PT	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > miniexcavadoras-segunda-mano
KB187	Miniexcavadora Kubota KX 037-4 GL (2023)	Miniexcavadora Kubota KX 037-4 GL. Modelo: Kubota KX 037-4 GL. Año: 2023. Horas certificadas: 1150. Peso operativo: 3,8T. Cabina: Cerrada. Enganche rápido: mecánico Lehnhoff MS03. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/miniexcavadoras-segunda-mano/KB187	https://storage.googleapis.com/equipzilla-images/imgs/machines/KB187-7.avif	in_stock	32500 EUR	used	Kubota	KB187	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > miniexcavadoras-segunda-mano
KB313	Miniexcavadora  Kubota U 36-4 GL (2023)	Miniexcavadora  Kubota U 36-4 GL. Modelo: Kubota Kurzheckbagger U 36-4 GL. Año: 2023. Horas certificadas: 650. Peso operativo: 3,8T. Cabina: Cerrada. Enganche rápido: mecánico Lehnhoff MS03. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/miniexcavadoras-segunda-mano/KB313	https://storage.googleapis.com/equipzilla-images/imgs/machines/KB313-7.avif	in_stock	32500 EUR	used	Kubota	KB313	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > miniexcavadoras-segunda-mano
KB284PT	Miniexcavadora  Kubota KX 030-4 GL (2023)	Miniexcavadora  Kubota KX 030-4 GL. Modelo: Kubota KX 030-4. Año: 2023. Horas certificadas: 700. Peso operativo: 3T. Cabina: Cerrada. Enganche rápido: mecánico Lehnhoff MS03. Cazos incluidos: 1. Maquinaria de segunda mano revisada y operativa. Envío a toda España.	https://equipzilla.com/compra/maquinaria/ocasion/maquinaria-construccion-segunda-mano/miniexcavadoras-segunda-mano/KB284PT	https://storage.googleapis.com/equipzilla-images/imgs/machines/KB284PT-2.avif	in_stock	35900 EUR	used	Kubota	KB284PT	no	Business & Industrial > Heavy Machinery	maquinaria > ocasion > maquinaria-construccion-segunda-mano > miniexcavadoras-segunda-mano
